X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
400312.439999998,142393.190000001,24078668,2024/05/25 16:44:12+00,DAY,OTHERS,THEFT F/AUTO,700 - 742 BLOCK OF DELAFIELD STREET NE,400312.44,142393.19,5,5A,4,405,Cluster 20,009509 3,009509,Precinct 66,38.9494365864,-76.9963956335,,2024/05/25 01:00:00+00,2024/05/25 11:00:00+00,618324226,
405525.054099999,136452.0801,24423683,2024/10/11 21:42:38+00,EVENING,OTHERS,THEFT/OTHER,4500 - 4599 BLOCK OF EADS PLACE NE,405525.05414708,136452.080124058,7,7F,6,602,Cluster 30,007803 2,007803,Precinct 98,38.8958998556,-76.9363097659,,2024/09/24 17:31:00+00,2024/09/24 17:32:00+00,618324264,
405106.864600003,135146.159000002,24067641,2024/05/06 06:29:53+00,MIDNIGHT,GUN,ROBBERY,4400 - 4499 BLOCK OF TEXAS AVENUE SE,405106.864610692,135146.159034846,7,7F,6,,Cluster 33,007703 1,007703,Precinct 103,38.8841381608,-76.9411401638,,2024/05/06 02:15:00+00,2024/05/06 04:49:00+00,618324276,
394088.460000001,138708.719999999,24089539,2024/06/13 01:45:07+00,EVENING,OTHERS,THEFT/OTHER,1851 - 2008 BLOCK OF WISCONSIN AVENUE NW,394088.46,138708.72,2,2E,2,206,Cluster 4,000102 1,000102,Precinct 5,38.9162259346,-77.0681648844,,2024/06/12 22:15:00+00,2024/06/12 22:17:00+00,618324311,
400432.520000003,130639.260000002,24160635,2024/10/17 02:34:47+00,EVENING,OTHERS,THEFT/OTHER,710 - 798 BLOCK OF ALABAMA AVENUE SE,400432.52,130639.26,8,8C,7,705,Cluster 39,009804 1,009804,Precinct 122,38.8435528696,-76.9950177685,,2024/10/16 20:11:00+00,2024/10/16 21:22:00+00,618324322,
397171.109999999,137408.25,24078005,2024/05/24 13:49:18+00,DAY,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF VERMONT AVENUE NW,397171.11,137408.25,2,2C,2,207,Cluster 8,010100 3,010100,Precinct 17,38.9045261865,-77.0326140595,DOWNTOWN,2024/05/24 11:41:00+00,2024/05/24 12:25:00+00,618324328,
393039.43,142375.16,24168855,2024/10/31 18:07:29+00,DAY,OTHERS,THEFT/OTHER,4530 - 4599 BLOCK OF WISCONSIN AVENUE NW,393039.43,142375.16,3,3E,2,202,Cluster 11,001100 4,001100,Precinct 32,38.9492466458,-77.0802982386,,2024/10/30 23:16:00+00,2024/10/30 23:26:00+00,618324335,
394346.409999996,137476.4619,24062802,2024/04/27 09:15:26+00,MIDNIGHT,OTHERS,THEFT/OTHER,POTOMAC STREET NW AND M STREET NW,394346.40997671,137476.46185301,2,2E,2,206,Cluster 4,000202 3,000202,Precinct 6,38.905127033,-77.0651803663,GEORGETOWN,2024/04/27 07:41:00+00,2024/04/27 08:49:00+00,618324338,
399950.630000003,139209.98,24063797,2024/04/29 05:54:33+00,MIDNIGHT,OTHERS,THEFT/OTHER,2300 - 2399 BLOCK OF 4TH STREET NE,399950.63,139209.98,5,5F,5,502,Cluster 21,009204 2,009204,Precinct 74,38.9207613298,-77.0005693126,,2024/04/29 04:51:00+00,,618324339,
403023.68,138808.25,24071101,2024/05/18 14:21:01+00,DAY,OTHERS,THEFT/OTHER,2300 - 3699 BLOCK OF NEW YORK AVENUE NE,403023.68,138808.25,5,5C,5,503,Cluster 24,011100 1,011100,Precinct 71,38.9171372142,-76.9651340569,,2024/05/12 12:42:00+00,2024/05/12 12:43:00+00,618324342,
